cuda
  6%|██████▉                                                                                                                | 29/500 [00:11<03:05,  2.54it/s]
Episode 1: Total Reward = -765.5924333545519
Saved best model with score -765.5924333545519 at episode 1
Episode 2: Total Reward = -1253.603822261645
Episode 3: Total Reward = -1430.0322625365359
Episode 4: Total Reward = -1066.8481386258934
Episode 5: Total Reward = -1037.992010398903
Episode 6: Total Reward = -914.0746455591534
Episode 7: Total Reward = -905.3072873538272
Episode 8: Total Reward = -911.1900820150018
Episode 9: Total Reward = -896.5102124918054
Episode 10: Total Reward = -903.2223882287615
Episode 11: Total Reward = -1231.9504999728206
Episode 12: Total Reward = -777.9632468053917
Episode 13: Total Reward = -1118.2537312210752
Episode 14: Total Reward = -1500.756231872474
Episode 15: Total Reward = -1455.013920406212
Episode 16: Total Reward = -1453.8944087241055
Episode 17: Total Reward = -1435.0885006691144
Episode 18: Total Reward = -768.2471955576066
Episode 19: Total Reward = -801.0424857993945
Episode 20: Total Reward = -815.8942350931173
Episode 21: Total Reward = -1553.868455942955
Episode 22: Total Reward = -1419.2013344219304
Episode 23: Total Reward = -1353.0552509993915
Episode 24: Total Reward = -1483.8477417262434
Episode 25: Total Reward = -1298.784481050538
Episode 26: Total Reward = -797.8057525613493
Episode 27: Total Reward = -873.5132370961064
Episode 28: Total Reward = -848.1694561596511
Episode 29: Total Reward = -765.438795486892
Saved best model with score -765.438795486892 at episode 29
Episode 30: Total Reward = -1358.809814606869
Episode 31: Total Reward = -1297.8890663101463
Episode 32: Total Reward = -1484.2503977188182
Episode 33: Total Reward = -1375.6116226021109
Episode 34: Total Reward = -769.3568764548429
Episode 35: Total Reward = -754.6329354677774
Saved best model with score -754.6329354677774 at episode 35
Episode 36: Total Reward = -904.346651899242
Episode 37: Total Reward = -702.8301039673636
Saved best model with score -702.8301039673636 at episode 37
Episode 38: Total Reward = -1100.263817318621
Episode 39: Total Reward = -1526.8647563237428
Episode 40: Total Reward = -1352.9620599860173
Episode 41: Total Reward = -1383.570606326492
Episode 42: Total Reward = -1428.874482618438
Episode 43: Total Reward = -1468.866355910402
Episode 44: Total Reward = -1549.3024154263394
Episode 45: Total Reward = -1304.2940872202962
Episode 46: Total Reward = -1313.1614021249493
Episode 47: Total Reward = -1477.9993948215151
Episode 48: Total Reward = -1366.5508012032383
Episode 49: Total Reward = -1346.7046709136005
Episode 50: Total Reward = -1510.2249210543237
Episode 51: Total Reward = -639.7117367261708
Saved best model with score -639.7117367261708 at episode 51
Episode 52: Total Reward = -1357.6777057441477
Episode 53: Total Reward = -1372.5792602104743
Episode 54: Total Reward = -1335.605562094228
Episode 55: Total Reward = -1418.006024294756
Episode 56: Total Reward = -795.0551686905438
Episode 57: Total Reward = -766.1771238587055
Episode 58: Total Reward = -831.3747294677114
Episode 59: Total Reward = -757.9746357992486
Episode 60: Total Reward = -774.0448003813931
Episode 61: Total Reward = -1244.637087309736
Episode 62: Total Reward = -636.013334373647
Saved best model with score -636.013334373647 at episode 62
Episode 63: Total Reward = -1342.722292366436
Episode 64: Total Reward = -738.0108874708355
Episode 65: Total Reward = -829.2717897119999
Episode 66: Total Reward = -633.3054094362162
Saved best model with score -633.3054094362162 at episode 66
Episode 67: Total Reward = -1350.2050691631846
Episode 68: Total Reward = -1486.1799847154603
Episode 69: Total Reward = -1288.4451576962565
Episode 70: Total Reward = -1442.58385586706
Episode 71: Total Reward = -1443.2688625828114
Episode 72: Total Reward = -1117.644403385062
Episode 73: Total Reward = -1506.5142120428918
Episode 74: Total Reward = -1291.1350319916319
Episode 75: Total Reward = -1282.0075928996253
Episode 76: Total Reward = -1320.7214180446895
Episode 77: Total Reward = -1386.3041155208916
Episode 78: Total Reward = -1450.9148736609693
Episode 79: Total Reward = -851.3165924935649
Episode 80: Total Reward = -1181.0573653945764
Episode 81: Total Reward = -1107.2891778711246
Episode 82: Total Reward = -1057.1793410663665
Episode 83: Total Reward = -1266.512090810901
Episode 84: Total Reward = -1421.6346251569894
Episode 85: Total Reward = -1385.11325581279
Episode 86: Total Reward = -1245.4924499873391
Episode 87: Total Reward = -1241.2389578030568
Episode 88: Total Reward = -1388.4715609082416
Episode 89: Total Reward = -1562.6642326491515
Episode 90: Total Reward = -1258.5181296059463
Episode 91: Total Reward = -1376.3432988169907
Episode 92: Total Reward = -777.812135292679
Episode 93: Total Reward = -920.7595501623316
Episode 94: Total Reward = -1021.4680455004782
Episode 95: Total Reward = -1047.0448153058871
Episode 96: Total Reward = -1010.0350010480454
Episode 97: Total Reward = -906.8471189252482
Episode 98: Total Reward = -895.6641002233224
Episode 99: Total Reward = -761.9213984915822
Episode 100: Total Reward = -766.3286622261277
